name,category,omr_mean,omr_se,mwc_mean,mwc_se,mww_mean,mww_se,flip_rate_mean,flip_rate_se,n
Model A (Qwen),Baseline,-,-,-,-,-,-,-,-,3854
Model B No CoT,Baseline,-,-,-,-,-,-,-,-,4996
Model B + CoT (Baseline),Baseline,84.78890907517952,0.5153415871581668,90.28442317916002,0.46398012749754075,60.79387186629527,1.600320153127432,15.211090924820486,0.5153415871581668,4951
Truncate First k=1,Truncate First,85.1042207230583,0.5063797243309665,90.62234268707483,0.4476669307131853,61.00278551532033,1.6042315526678594,21.245306633291612,0.520160852910546,4940
Truncate First k=2,Truncate First,85.08908493340253,0.507385198836476,90.57185374149658,0.45057748152648863,61.14206128133704,1.6017958763904523,21.272480133835213,0.5191177774157464,4943
Truncate First k=3,Truncate First,85.05709836491046,0.5050086539664664,90.66751700680271,0.4467916927746034,60.51836355183635,1.586490257312815,21.337015423092957,0.5152996465133126,4944
Truncate First k=5,Truncate First,85.00691921812835,0.5061099827733249,90.41241496598639,0.4540061500508406,61.397400185701024,1.5801110664838371,21.681584790452405,0.5225119939421934,4943
Truncate Last k=1,Truncate Last,83.0995670995671,0.5404461684180657,89.45437141033823,0.47919356045809824,55.28398510242085,1.6495902352585985,23.002366534419156,0.5353698266860093,4940
Truncate Last k=2,Truncate Last,82.79465212876428,0.5423621005515059,89.26977040816327,0.4795912207764543,54.43435754189944,1.6506643606319038,23.476795887175207,0.5379442858517154,4957
Truncate Last k=3,Truncate Last,82.64555757418461,0.5393784948479744,88.99521531100478,0.47905321365805403,54.92107706592386,1.6401256635223995,24.08449725522896,0.5421318135455278,4943
Truncate Last k=5,Truncate Last,81.76623376623377,0.5546741406790283,88.37215486066793,0.4954915019910051,52.85148975791434,1.6614318485234587,24.42528735632184,0.543676085303818,4940
Truncate Contiguous k=1,Truncate Contiguous,84.93340252551461,0.5090001836081581,90.42570153061224,0.4543210740987592,60.944753946146704,1.5953005972278798,21.46280475098979,0.5190194662654175,4946
Truncate Contiguous k=2,Truncate Contiguous,85.15395260335582,0.5069662292892543,90.34332482993199,0.45827979937074614,62.48839368616528,1.588139723689946,21.838184338184334,0.5246409654473364,4934
Truncate Contiguous k=3,Truncate Contiguous,85.08521498399514,0.5072439232803081,90.5904549319728,0.45169559548799154,61.00650860065087,1.5925968523567549,22.204345720019376,0.5261457820196643,4953
Truncate Contiguous k=5,Truncate Contiguous,84.9013755515183,0.5126248280230439,90.359268707483,0.45943352225281475,61.029753602975354,1.6053168880158588,21.885855217451713,0.525219587275729,4944
Truncate Random 10%,Truncate Random,85.29449922158796,0.5021348926610881,90.61437074829934,0.44621487773326507,62.0589600742804,1.5953427575794665,21.744548286604363,0.522210922863969,4957
Truncate Random 20%,Truncate Random,84.94895752227701,0.5089128973374174,90.35926870748298,0.45682784131915966,61.285448628544856,1.590633550407746,22.18858733472512,0.5239572504960625,4947
Truncate Random 30%,Truncate Random,85.06962463241653,0.5001291863196018,90.4469600340136,0.4463401041324015,61.583101207056636,1.5699997999817943,22.501739735560193,0.522727128750194,4949
Truncate Random 50%,Truncate Random,82.45955532485509,0.5375706104484634,87.96650717703349,0.503420565147106,58.414577530176416,1.582243941401442,26.040149781568545,0.5550997598613072,4954
Filler Replace 10%,Filler Replace,84.85379358075957,0.5088419072323975,90.69377990430621,0.44053373264477697,59.354688950789225,1.6267305553690647,22.233813199805272,0.5255544958554362,4939
Filler Replace 20%,Filler Replace,84.22873951033826,0.5170731540658896,90.15151515151516,0.45399069643823253,58.36815227483751,1.621155707217755,23.380159556018036,0.534188865143058,4937
Filler Replace 30%,Filler Replace,83.43942149476054,0.528275050837942,89.33588761174967,0.4744207861824722,57.68247326824733,1.6165979542036448,24.507056870070567,0.5465912509585296,4954
Filler Replace 50%,Filler Replace,80.00173746850838,0.5527635391600003,85.90462458613692,0.5159679935887551,54.27141527001862,1.6070522550581274,29.051265911316264,0.569674095553534,4927
Error Injection -,Error Injection,59.10782277604707,0.7442633144897931,63.365231259968105,0.8142648501184966,40.492794049279404,1.6498580319320884,44.895833333333336,0.6639160310156483,4950
